GISJOIN,YEAR,ZCTA5A,NAME_E,AH1PE001,NAME_M,AH1PM001
G00601,2013-2017,601,ZCTA5 00601,11757,ZCTA5 00601,1287
G00602,2013-2017,602,ZCTA5 00602,16190,ZCTA5 00602,1499
G00603,2013-2017,603,ZCTA5 00603,16645,ZCTA5 00603,952
G00606,2013-2017,606,ZCTA5 00606,13387,ZCTA5 00606,2659
G00610,2013-2017,610,ZCTA5 00610,18741,ZCTA5 00610,1354
G00612,2013-2017,612,ZCTA5 00612,17744,ZCTA5 00612,940
G00616,2013-2017,616,ZCTA5 00616,14918,ZCTA5 00616,1974
G00617,2013-2017,617,ZCTA5 00617,17157,ZCTA5 00617,2141
G00622,2013-2017,622,ZCTA5 00622,16727,ZCTA5 00622,3673
G00623,2013-2017,623,ZCTA5 00623,16401,ZCTA5 00623,1276
G00624,2013-2017,624,ZCTA5 00624,16832,ZCTA5 00624,1469
G00627,2013-2017,627,ZCTA5 00627,17579,ZCTA5 00627,1275
G00631,2013-2017,631,ZCTA5 00631,9632,ZCTA5 00631,2994
G00637,2013-2017,637,ZCTA5 00637,15736,ZCTA5 00637,2051
G00638,2013-2017,638,ZCTA5 00638,14448,ZCTA5 00638,1421
G00641,2013-2017,641,ZCTA5 00641,16292,ZCTA5 00641,1098
G00646,2013-2017,646,ZCTA5 00646,29160,ZCTA5 00646,3088
G00647,2013-2017,647,ZCTA5 00647,13071,ZCTA5 00647,1064
G00650,2013-2017,650,ZCTA5 00650,16095,ZCTA5 00650,3084
G00652,2013-2017,652,ZCTA5 00652,20564,ZCTA5 00652,2727
G00653,2013-2017,653,ZCTA5 00653,12236,ZCTA5 00653,1639
G00656,2013-2017,656,ZCTA5 00656,14966,ZCTA5 00656,1344
G00659,2013-2017,659,ZCTA5 00659,17770,ZCTA5 00659,1471
G00660,2013-2017,660,ZCTA5 00660,19674,ZCTA5 00660,1596
G00662,2013-2017,662,ZCTA5 00662,16771,ZCTA5 00662,1587
